"TimestampUtc","CorrelationID","RequestID","EmployeeID","SamAccountName","Stage","Action","Target","Result","Details"
"2026-09-04T22:59:56.8459932Z","M06-LEAVER-20260904-235956","ALL","ALL","ALL","Preflight","ValidateApprovedRequests","Approved leaver dataset and Active Directory state","Passed","Three approved leaver requests passed hash, identity, access and containment validation."
"2026-09-04T22:59:56.8459932Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","RecoveryPreparation","CaptureRecoveryState","Local recovery manifest","Success","Pre-change OU, enabled state, description, manager, memberships and expiration were captured."
"2026-09-04T22:59:56.8459932Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","RecoveryPreparation","CaptureRecoveryState","Local recovery manifest","Success","Pre-change OU, enabled state, description, manager, memberships and expiration were captured."
"2026-09-04T22:59:56.8828178Z","M06-LEAVER-20260904-235956","LVR-2026-0904-001","IAM2001","theo.lawson","Idempotency","LeaverStateNoChange","OU=Leavers,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","NoChange","The account was already disabled, access-free and located in the controlled Leavers OU."
"2026-09-04T22:59:56.8928921Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","Containment","DisableAccount","isla.grant","Success","The approved leaver account was disabled before access removal."
"2026-09-04T22:59:56.9397869Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","AccessRemoval","RemoveMembership","GG_IAM_Access_Finance_ERP","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:56.9553816Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","AccessRemoval","RemoveMembership","GG_IAM_Access_M365_Baseline","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:56.9710402Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","AccessRemoval","RemoveMembership","GG_IAM_All_Employees","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:56.9870112Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","AccessRemoval","RemoveMembership","GG_IAM_All_Workforce","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.0021652Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","AccessRemoval","RemoveMembership","GG_IAM_Department_Finance","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.0181710Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","DirectoryPlacement","MoveToLeaversOU","OU=Leavers,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","Success","The disabled and access-free account was moved into the protected Leavers OU."
"2026-09-04T22:59:57.0339855Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","LifecycleRecord","UpdateLifecycleDescription","isla.grant","Success","The description was updated to the approved disabled leaver state."
"2026-09-04T22:59:57.0493946Z","M06-LEAVER-20260904-235956","LVR-2026-0904-002","IAM2002","isla.grant","IdentityValidation","ValidateLeaverState","isla.grant","Passed","The account is disabled, access-free, retained and located in the protected Leavers OU."
"2026-09-04T22:59:57.0646919Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","Containment","DisableAccount","mason.cole","Success","The approved leaver account was disabled before access removal."
"2026-09-04T22:59:57.0962271Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","AccessRemoval","RemoveMembership","GG_IAM_Access_IT_ServiceDesk","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.1116800Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","AccessRemoval","RemoveMembership","GG_IAM_Access_M365_Baseline","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.1272501Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","AccessRemoval","RemoveMembership","GG_IAM_All_Employees","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.1427958Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","AccessRemoval","RemoveMembership","GG_IAM_All_Workforce","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.1586265Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","AccessRemoval","RemoveMembership","GG_IAM_Department_InformationTechnology","Success","A direct controlled IAM membership was removed from the disabled leaver account."
"2026-09-04T22:59:57.1743517Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","DirectoryPlacement","MoveToLeaversOU","OU=Leavers,OU=Users,OU=IAM-Lab,DC=corporate,DC=test","Success","The disabled and access-free account was moved into the protected Leavers OU."
"2026-09-04T22:59:57.1897884Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","LifecycleRecord","UpdateLifecycleDescription","mason.cole","Success","The description was updated to the approved disabled leaver state."
"2026-09-04T22:59:57.1897884Z","M06-LEAVER-20260904-235956","LVR-2026-0904-003","IAM2003","mason.cole","IdentityValidation","ValidateLeaverState","mason.cole","Passed","The account is disabled, access-free, retained and located in the protected Leavers OU."
"2026-09-04T22:59:57.3460325Z","M06-LEAVER-20260904-235956","ALL","ALL","ALL","PostValidation","ValidateControlledEnvironment","IAM-Lab and preserved security laboratory state","Passed","All controlled identity, leaver containment, membership and preserved-environment checks passed."
